0,1,2,3,4,5,6,7,8,9,10,11
59.66,59.66,59.66,59.66,59.66,59.66,0.008745193481445312,0.008329153060913086,0.006871700286865234,0.006249904632568359,0.005802154541015625,0.0056610107421875
10823.67,69.23,2916.76,69.23,69.23,69.23,0.2805647850036621,0.006263256072998047,0.025175094604492188,0.006137847900390625,0.006200551986694336,0.0062596797943115234
20.42,20.42,20.42,20.42,20.42,20.42,0.0031681060791015625,0.0027577877044677734,0.003167867660522461,0.0035200119018554688,0.002856016159057617,0.003270864486694336
26.74,26.74,26.74,26.74,26.74,26.74,0.0053141117095947266,0.00640416145324707,0.005924224853515625,0.0062808990478515625,0.0059392452239990234,0.005967378616333008
237.97,237.97,237.97,237.97,272.95,360.45,0.4888777732849121,0.735668420791626,1.2165868282318115,0.6801121234893799,1.926131248474121,0.016928434371948242
297.61,200.83,157.13,157.13,157.13,452.08,2.938488245010376,0.36300134658813477,0.054851531982421875,0.07197999954223633,0.044831037521362305,0.02594470977783203
128.89,112.62,113.61,112.62,109.93,109.93,0.4733548164367676,0.3429908752441406,0.2711176872253418,0.2743232250213623,0.0032231807708740234,0.002454996109008789
38.45,38.45,38.45,38.45,38.45,38.45,0.004376888275146484,0.003744840621948242,0.003422260284423828,0.004023075103759766,0.0035409927368164062,0.0038709640502929688
53.39,53.39,53.39,53.39,121.95,53.39,0.015269041061401367,0.01255488395690918,0.004544973373413086,0.005810737609863281,0.00632023811340332,0.005504131317138672
80.48,80.48,80.48,80.48,80.48,80.48,0.006586790084838867,0.009837865829467773,0.012407302856445312,0.008528947830200195,0.007954120635986328,0.0081024169921875
38.45,38.45,38.45,38.45,38.45,38.45,0.0038356781005859375,0.0039098262786865234,0.003656148910522461,0.003859281539916992,0.0034880638122558594,0.004642963409423828
41.68,41.68,41.68,41.68,41.68,41.68,0.003437042236328125,0.003635883331298828,0.0034749507904052734,0.0034203529357910156,0.0036497116088867188,0.003959178924560547
40.27,40.27,40.27,40.27,40.27,40.27,0.0039789676666259766,0.003612041473388672,0.004466056823730469,0.0036630630493164062,0.003988027572631836,0.004290103912353516
282.7,282.7,105.59,105.59,105.59,105.59,0.41704535484313965,0.41506290435791016,0.002797842025756836,0.0013043880462646484,0.0012822151184082031,0.0013051033020019531
343.4,343.4,343.4,343.4,343.4,343.4,0.03174614906311035,0.028819799423217773,0.02455615997314453,0.004566669464111328,0.003718852996826172,0.003876924514770508
107.38,107.38,78.36,204.31,78.36,78.36,0.006591081619262695,0.004991292953491211,0.0023953914642333984,0.0072727203369140625,0.0022423267364501953,0.0022046566009521484
121.73,59.66,59.66,59.66,59.66,59.66,0.9134225845336914,0.002043008804321289,0.0030930042266845703,0.002379179000854492,0.002313852310180664,0.0022165775299072266
120.48,120.48,120.48,120.48,120.48,120.48,0.011188507080078125,0.013841867446899414,0.0021905899047851562,0.002049684524536133,0.002226114273071289,0.0021288394927978516
54.3,54.3,54.3,54.3,54.3,54.3,0.0045430660247802734,0.004687786102294922,0.003448963165283203,0.0025658607482910156,0.0025110244750976562,0.002351999282836914
133.39,133.39,133.39,133.39,89.75,89.75,0.7381889820098877,0.7028594017028809,0.24411845207214355,0.2984349727630615,0.002154111862182617,0.0012063980102539062
80.79,80.79,80.79,80.79,80.79,80.79,0.0008833408355712891,0.0011630058288574219,0.00469207763671875,0.0008618831634521484,0.0011959075927734375,0.0012390613555908203
207.72,167.85,139.45,139.45,10993.39,139.45,0.38825440406799316,0.6246051788330078,0.0038368701934814453,0.0022401809692382812,0.09860801696777344,0.002527475357055664
449.19,369.57,46.73,46.73,46.73,291.58,5.355183362960815,11.419565677642822,0.0012331008911132812,0.0011398792266845703,0.0012619495391845703,0.003098726272583008
191.24,435.86,191.24,90.73,90.73,90.73,0.014409065246582031,0.04100608825683594,0.013194799423217773,0.0006628036499023438,0.000682830810546875,0.0006692409515380859
