0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
110.31,110.31,110.31,110.31,110.31,144.51,72.56,72.56,72.56,72.56,72.56,22.05,30.16,30.16,30.16,30.16,60.6,60.6,114.81,114.81,114.81,114.81,114.81,114.81,0.0005400180816650391,0.0007388591766357422,0.00022101402282714844,0.000537872314453125,0.00018358230590820312,0.22581887245178223
182.51,182.51,182.51,182.51,182.51,261.83,21.91,21.91,21.91,21.91,21.91,48.29,33.93,33.93,33.93,33.93,68.18,29.08,522.06,522.06,522.06,522.06,522.06,522.06,0.0007596015930175781,0.0010590553283691406,0.00028824806213378906,0.0007407665252685547,0.00030875205993652344,0.10876059532165527
83.42,83.42,83.42,83.42,83.42,88.06,65.54,65.54,65.54,65.54,65.54,71.51,59.73,59.73,59.73,59.73,59.73,59.73,141.26,141.26,141.26,141.26,141.26,141.26,0.00028443336486816406,0.0004162788391113281,7.796287536621094e-05,0.00020575523376464844,0.00010561943054199219,0.038861989974975586
73.25,73.25,73.25,73.25,69.01,118.47,33.97,33.97,33.97,33.97,46.88,33.97,34.16,34.16,34.16,34.16,68.18,34.16,68.08,68.08,68.08,68.08,68.08,68.08,0.0005471706390380859,0.0008130073547363281,0.00011396408081054688,0.00047278404235839844,0.00017070770263671875,0.08356523513793945
113.94,113.94,113.94,113.94,98.06,113.94,41.02,41.02,41.02,41.02,41.02,41.02,36.76,36.76,36.76,36.76,36.76,34.02,567.72,567.72,567.72,567.72,567.72,380.15,0.00015926361083984375,0.00021123886108398438,7.033348083496094e-05,0.0001990795135498047,6.389617919921875e-05,0.007400989532470703
171.98,171.98,171.98,171.98,187.31,171.98,43.44,43.44,43.44,43.44,43.44,81.93,29.61,29.61,29.61,29.61,29.61,76.54,890.28,890.28,890.28,890.28,890.28,890.28,0.00024771690368652344,0.0003371238708496094,9.918212890625e-05,0.00023102760314941406,8.320808410644531e-05,0.020741939544677734
73.52,73.52,73.52,73.52,73.52,73.52,136.61,136.61,136.61,136.61,136.61,136.61,29.56,29.56,29.56,29.56,73.52,73.52,190.27,190.27,190.27,190.27,190.27,50.89,7.295608520507812e-05,0.00010204315185546875,1.7881393432617188e-05,7.104873657226562e-05,2.7179718017578125e-05,0.0027315616607666016
27.25,27.25,27.25,27.25,27.25,27.25,61.05,61.05,61.05,61.05,61.05,61.05,24.51,24.51,24.51,24.51,24.51,24.51,2426.31,2426.31,2426.31,2426.31,2426.31,797.07,4.57763671875e-05,4.38690185546875e-05,1.9073486328125e-05,3.314018249511719e-05,2.5987625122070312e-05,0.00240325927734375
159.6,159.6,159.6,159.6,253.2,318.77,39.05,39.05,39.05,39.05,39.05,38.88,24.51,24.51,24.51,24.51,24.51,24.51,77.64,77.64,77.64,77.64,77.64,77.64,0.0009012222290039062,0.0012676715850830078,0.00046753883361816406,0.0011026859283447266,0.00024437904357910156,0.030170202255249023
113.56,113.56,113.56,113.56,176.05,136.38,40.72,40.72,40.72,40.72,188.77,40.72,32.68,32.68,32.68,32.68,32.68,29.56,67.55,67.55,67.55,67.55,67.55,67.55,0.00018930435180664062,0.0002608299255371094,9.489059448242188e-05,0.00017714500427246094,9.489059448242188e-05,0.004988193511962891
50.17,50.17,50.17,50.17,50.17,50.17,36.45,36.45,36.45,36.45,36.45,36.45,29.61,29.61,29.61,29.61,52.35,29.61,2426.31,2426.31,2426.31,2426.31,2426.31,932.4,5.1975250244140625e-05,6.985664367675781e-05,1.811981201171875e-05,6.008148193359375e-05,2.5033950805664062e-05,0.002699136734008789
133.59,133.59,133.59,133.59,133.59,354.87,65.93,65.93,65.93,65.93,65.93,39.9,32.68,32.68,32.68,32.68,32.68,38.27,184.94,184.94,184.94,184.94,184.94,178.3,0.00023365020751953125,0.00033974647521972656,8.416175842285156e-05,0.00022339820861816406,0.00014710426330566406,0.026141881942749023
69.0,69.0,69.0,69.0,52.77,120.79,71.06,71.06,71.06,71.06,71.06,35.88,24.51,24.51,24.51,24.51,24.51,24.51,47.55,47.55,47.55,47.55,47.55,47.55,0.00020623207092285156,0.0002980232238769531,7.581710815429688e-05,0.00015997886657714844,0.00013494491577148438,0.058797359466552734
36.76,36.76,36.76,36.76,36.76,36.76,37.33,37.33,37.33,37.33,37.33,37.33,36.76,36.76,36.76,36.76,36.76,36.76,47.11,47.11,47.11,47.11,47.11,47.11,7.510185241699219e-05,7.081031799316406e-05,1.6927719116210938e-05,6.103515625e-05,2.6226043701171875e-05,0.002986907958984375
